
fewshot 0

Kmeans cond 0
Mean Accuracy: 0.5428897772701313, Std Accuracy: 0.05535215884447098
Mean F1 Score: 0.5274827207545906, Std F1 Score: 0.04992587864398956
Mean prec Score: 0.5497956381789773, Std prec Score: 0.05208500102162361
Mean rec Score: 0.5428897772701313, Std rec Score: 0.05535215884447098
Mean AUC Score: 0.521468821397409, Std rec Score: 0.08675706386566162

fewshot 0.01
Mean Accuracy: 0.5075956596230725, Std Accuracy: 0.0727403536438942
Mean F1 Score: 0.4904754919123814, Std F1 Score: 0.07586779445409775
Mean prec Score: 0.5121508505341896, Std prec Score: 0.07549794018268585
Mean rec Score: 0.5075956596230725, Std rec Score: 0.0727403536438942
Mean AUC Score: 0.5077342534961744, Std rec Score: 0.07547627389431
